,stop_id,stop_sequence,stop_name,stop_lat,stop_lon
0,405284,1,MALCOLM X BL/W 146 ST,40.821082000000004,-73.935896
1,400088,2,MALCOLM X BL/W 145 ST,40.820359,-73.93646
2,400089,3,MALCOLM X BL/W 142 ST,40.818247,-73.93800300000001
3,400091,4,W 139 ST/MALCOLM X BL,40.816381,-73.938746
4,400092,5,5 AV/W 138 ST,40.815202,-73.93598
5,400093,6,5 AV/W 137 ST,40.813790999999995,-73.937003
6,400094,7,5 AV/W 135 ST,40.812365,-73.93804499999999
7,400095,8,5 AV/W 132 ST,40.81062,-73.93928199999999
8,400096,9,5 AV/W 130 ST,40.809346999999995,-73.940208
9,400097,10,5 AV/W 128 ST,40.808076,-73.941141
10,400098,11,5 AV/W 125 ST,40.806137,-73.942555
11,400099,12,MT MORRIS PK W/W 124 ST,40.80619,-73.944603
12,400100,13,MT MORRIS PK W/W 121 ST,40.804583,-73.94566
13,400101,14,W 120 ST/5 AV,40.80322,-73.944671
14,400102,15,5 AV/W 118 ST,40.801694,-73.945835
15,400103,16,5 AV/W 116 ST,40.800354999999996,-73.946815
16,400105,17,5 AV/W 112 ST,40.79786,-73.948595
17,400107,18,5 AV/EAST 109 ST,40.796533000000004,-73.94957
18,400108,19,5 AV/E 108 ST,40.795513,-73.950319
19,400109,20,5 AV/E 106 ST,40.794176,-73.951287
20,400110,21,5 AV/E 104 ST,40.793073,-73.952097
21,400111,22,5 AV/E 102 ST,40.79157,-73.953182
22,404081,23,5 AV/E 98 ST,40.789203,-73.954934
23,404168,24,5 AV/E 96 ST,40.788214,-73.955636
24,400115,25,5 AV/E 94 ST,40.786559000000004,-73.95686500000001
25,400116,26,5 AV/E 92 ST,40.785462,-73.95766
26,400117,27,5 AV/E 90 ST,40.783993,-73.958712
27,400118,28,5 AV/E 87 ST,40.782181,-73.960036
28,400119,29,5 AV/E 84 ST,40.780435,-73.961321
29,803162,30,5 AV/E 81 ST,40.778538,-73.96268
30,404303,31,5 AV/W 78 ST,40.776253000000004,-73.964385
31,400122,32,5 AV/E 77 ST,40.77561,-73.964837
32,400123,33,5 AV/E 75 ST,40.774356,-73.965776
33,400124,34,5 AV/E 72 ST,40.771799,-73.967626
34,400125,35,5 AV/E 69 ST,40.770259,-73.968739
35,400126,36,5 AV/W 66 ST,40.768234,-73.970238
36,400127,37,5 AV/E 63 ST,40.767348999999996,-73.97084100000001
37,400128,38,5 AV/E 61 ST,40.766083,-73.971777
38,400512,39,5 AV/W 59 ST,40.764429,-73.972966
39,403266,40,5 AV/W 56 ST,40.761798999999996,-73.974937
40,400514,41,5 AV/W 52 ST,40.759924,-73.97630600000001
41,400515,42,5 AV/W 49 ST,40.758031,-73.977678
42,400516,43,5 AV/W 46 ST,40.756156,-73.979047
43,405179,44,5 AV/W 44 ST,40.754870000000004,-73.979966
44,400518,45,5 AV/W 41 ST,40.753190999999994,-73.981154
45,400519,46,5 AV/W 38 ST,40.750927000000004,-73.98280799999999
46,400323,47,5 AV/W 35 ST,40.749477,-73.983921
47,400324,48,5 AV/W 33 ST,40.747494,-73.985338
48,400325,49,5 AV/W 31 ST,40.746263,-73.98626800000001
49,400326,50,5 AV/W 29 ST,40.745072,-73.987134
50,400327,51,5 AV/W 26 ST,40.743132,-73.988487
51,400329,52,5 AV/W 23 ST,40.741240000000005,-73.990062
52,400330,53,5 AV/W 20 ST,40.739407,-73.99126
53,400331,54,5 AV/W 17 ST,40.73767,-73.99252299999999
54,402857,55,5 AV/W 13 ST,40.735713,-73.99395200000001
55,400333,56,5 AV/W 12 ST,40.734469,-73.994847
56,400334,57,5 AV/W 10 ST,40.733222999999995,-73.995749
57,400335,58,E 8 ST/5 AV,40.731996,-73.995926
58,400336,59,E 8 ST/UNIVERSITY PL,40.731417,-73.994502
59,400337,60,E 8 ST/MERCER ST,40.730709000000004,-73.992838
60,404010,61,E 8 ST/LAFAYETTE ST,40.730069,-73.991279
61,403793,62,4 AV/E 9 ST,40.73028,-73.990532
